"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1266082","occ","","","168183","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266083","occ","","","168184","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266084","occ","","","168185","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266085","occ","","","168186","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266089","occ","","","168193","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266090","occ","","","168194","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266091","occ","","","168195","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266092","occ","","","168196","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266094","occ","","","168197","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266095","occ","","","168198","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266096","occ","","","168199","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266097","occ","","","168200","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266098","occ","","","168201","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266100","occ","","","168205","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266101","occ","","","168202","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266102","occ","","","168203","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266103","occ","","","168204","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","55082"
"1266105","occ","","","168206","Globicephala melas","species","64474","","Globicephala melas","species","64473","Holocene","","0.0117","0","55082"
"1266106","occ","","","168207","Globicephala melas","species","64474","","Globicephala melas","species","64473","Holocene","","0.0117","0","55082"
"1266107","occ","","","168208","Globicephala melas","species","64474","","Globicephala melas","species","64473","Holocene","","0.0117","0","55082"
"1266109","occ","","","168209","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266110","occ","","","168210","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266111","occ","","","168211","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266112","occ","","","168212","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266115","occ","","","168213","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266116","occ","","","168215","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266117","occ","","","168216","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266118","occ","","","168217","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266119","occ","","","168219","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266120","occ","","","168218","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","55082"
"1266218","occ","","","168229","Orcaella brevirostris","species","108775","","Orcaella brevirostris","species","63582","Holocene","","0.0117","0","55090"
"1266219","occ","","","168227","Orcaella brevirostris","species","108775","","Orcaella brevirostris","species","63582","Holocene","","0.0117","0","55090"
"1266220","occ","","","168228","Orcaella brevirostris","species","108775","","Orcaella brevirostris","species","63582","Holocene","","0.0117","0","55090"
"1299763","occ","","","173562","Globicephalinae indet.","subfamily","63528","","Globicephalinae","subfamily","102698","Zanclean","","5.333","3.6","56571"
"1299766","occ","","","173563","Globicephalinae indet.","subfamily","63528","","Globicephalinae","subfamily","102698","Zanclean","","5.333","3.6","56571"
"1308482","occ","","","175523","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","57380"
"1308483","occ","","","175523","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","57380"
"1308484","occ","","","175523","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","57380"
"1308511","occ","","","100313","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","57380"
"1310815","occ","","","175943","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","57684"
"1332561","occ","","","179577","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","59464"
"1332562","occ","","","179577","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","59464"
"1332563","occ","","","179577","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","59464"
"1332564","occ","","","179577","cf. Stenella sp.","genus","102903","","Stenella","genus","36854","Holocene","","0.0117","0","59464"
"1350839","occ","","","125187","Orca sp.","genus","66120","replaced by","Orcinus","genus","36787","Zanclean","","5.333","3.6","61139"
"1353593","occ","","","183532","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Miocene","","23.03","5.333","60839"
"1353594","occ","","","183533","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Miocene","","11.608","5.333","60839"
"1353624","occ","","","60256","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Serravallian","","13.82","11.62","60839"
"1353659","occ","","","183536","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Miocene","","23.03","5.333","60839"
"1353661","occ","","","76502","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Pliocene","","5.333","2.588","60839"
